blockNumber,id,indexer,logIndex,tokens,type
11477181,0x0fdc34a8e4b3635d19b997358fef352f9a5a0603909ad3faca542ae14215facb-112,0x8b7663dd451c951f39e541188d9f7d9419e94421,112,2180281000000000000000000,stakeDepositeds
11477215,0x3dd17f08d03445780a521e5a244cb7dd7832329fce1457926ae7a5529fc81c48-243,0xb438830f11820a5e9cdde1363bc49bde2da67f1f,243,1290304000000000000000000,stakeDepositeds
11477275,0x2a33ee267321094775a4f20d5733ee8b05298caf562bd63cd87cad627d8afc77-121,0x50a786a68320fcfb276ef196dee6f4cdae53440e,121,192308000000000000000000,stakeDepositeds
11478003,0x58b099a81ee1bf8ea4a0394596e765a8f9742e3cef1a1a0d825cd35a4e37b654-73,0x6ac85b9d834b51b14a7b0ed849bb5199e04c05c5,73,100000000000000000000000,stakeDepositeds
11478878,0x1c28c338211465e2aa72e46858331fb7167b9f425728bf9b280624fd7bf5219b-87,0xb3e2fe4e6673709613c22c63d3d7326f3bfa15cc,87,1425568000000000000000000,stakeDepositeds
11478897,0xca600220044578c1e873c2d492d61ca51ab36cf9517f767a60fcf6b9cbf5d41c-368,0x4437e367cc68d87675148a9e4a1f052f0359c880,368,3333333000000000000000000,stakeDepositeds
11478988,0x13acffb1c350d6f1813dc35610b735629b31191c04ddf9094dd1e68b888f7e4e-49,0x48b5687f0595e2a4d581dc72305fbae214345d07,49,2019036000000000000000000,stakeDepositeds
11479135,0x79b9263df5e3cafd2bad5e7b9a1824e16eb86aef2dbeb87bf14ca16da3634671-292,0xd7205e8054a6778e383d9afde80fd702db41c7fd,292,1141012000000000000000000,stakeDepositeds
11479152,0xc25f245a16bb0f0cc51964733dee2f88433b94d39dd20e17d0aaaf53f247f820-197,0xd11e05240a50e2eedb03e72d4c9c6465bc05f2a4,197,1420657000000000000000000,stakeDepositeds
11479401,0xa941645ad8afb09da95b4a16896b79b1fab06ee68bd22cb5aa34a53b0a2e4539-60,0x27ac40b9198659ce99eef1890d853a40560c9425,60,1935274000000000000000000,stakeDepositeds
11479432,0x407d2132d6e545ea3874bf87c3ac496855fefb6de24eb800e2cfbbe08ba506b8-143,0x7ed9d36539f349808c42187ed4e1753d5947db7a,143,100000000000000000000000,stakeDepositeds
11479479,0x2c155128e1271a98829fe0e2677681ad3a9b752ed6f7bed94cf8205a4ac1cdf1-267,0x39839abed87475422c5353256d17e08395c3af6b,267,1283071000000000000000000,stakeDepositeds
11479694,0x9307dd2e00bde62fe57441d5d1f4a7c4010e6805cdfc7a34e72fd9f05a8a7de5-30,0x039b47ea916783f78d943d94de700a17f40ae6d4,30,2692308000000000000000000,stakeDepositeds
11479742,0x473c011863c5ff6f8769d309643b4f625a3203492572ba3e5435f7d90a66ea0d-122,0x72acbecf3013d7b27421185d3bf369520bf552c8,122,1952262000000000000000000,stakeDepositeds
11479776,0x2d9ada11421665a53c1a10f70a19c6a593b4acb93dbad94d395c7144ec68af29-128,0x7ca0ee4a792f4da7b6aaf4c082b234259de61112,128,1612940000000000000000000,stakeDepositeds
11479975,0x02e3e633515317b51e8624b24710b508ec38046a7a1f25a06e554b73d79ea7c1-19,0x7ed9d36539f349808c42187ed4e1753d5947db7a,19,2207692000000000000000000,stakeDepositeds
11480196,0x6516c48fa3f31be17cb22c3cccafee885cfa17fd34a77935ce388cfc8771cfc1-52,0x62a0bd1d110ff4e5b793119e95fc07c9d1fc8c4a,52,5110895537281289500000,stakeDepositeds
11480211,0x992236469fc21cb51fb016a5fdfca21a8fd1e572659e187d437505ae1c3b8042-34,0x62a0bd1d110ff4e5b793119e95fc07c9d1fc8c4a,34,5160286425843754000000,stakeDepositeds
11480219,0x194e67a51ffcf4c2a9d695bf252c88044749cf23865400b54af79285cd17b9e7-139,0x62a0bd1d110ff4e5b793119e95fc07c9d1fc8c4a,139,26420452586642620500000,stakeDepositeds
11480239,0x68cd8214f6215d76c5baab459b7886cff78e436dd108e498ab496d5feea1b0a9-170,0x62a0bd1d110ff4e5b793119e95fc07c9d1fc8c4a,170,8657262789268595600000,stakeDepositeds
11480245,0xda519af38be34b67bfd6e336c002b08101b35e14670723d8146d928fac3f700f-182,0x62a0bd1d110ff4e5b793119e95fc07c9d1fc8c4a,182,12277044340558029500000,stakeDepositeds
11480422,0xa0e11b5fd52126f5acec33e515c2cf4e062ee0aace54ded1c0c3804305028730-221,0xa543abe0ea61b4bbbca3f402442bda4bf7d45992,221,2931858000000000000000000,stakeDepositeds
11481090,0xed513c00bfbce501d4a631ce07568e9edaef6a80cb4ce70664b9b51fb43a1c3d-120,0x4ac761592d1f948058843121133d048dc7dfc7c0,120,1434382000000000000000000,stakeDepositeds
11481477,0x6cae60461cb48331472f13d98e01e3ce8f2d112feb0021a07724e97dad677ae1-129,0xc36157756ea4838cf882edab9dd94325c38f2edc,129,1822582000000000000000000,stakeDepositeds
11481835,0xdb0da55ce93fcfd8f36bac2aa6afb7e01d52b70915721d11ab3c507ed5d8e0c5-227,0x4fedde33607cfda2c82a999accb427d1170987d9,227,62620987384463876016969,stakeDepositeds
11481867,0xfb662bd11427ed853cc19a1d66ab686111c650f263ad90e7d55b99e3d88cdeef-139,0x8e297141f9dc76f4d71741da1a1e47294cf0fde2,139,8996174271511394438064,stakeDepositeds
11481871,0x02a532c1aac5cfe709b19c334e742c7c721e5aa349c54b457227061469521fcf-115,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,115,63200257687268083761955,stakeDepositeds
11481872,0xa173a378a92e3ffde4717edd8db1bbbfa76f829c6b8c0f58e27ea1b6f334f2a9-158,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,158,62945556507926514129225,stakeDepositeds
11481916,0x5e2c6c545e27880ec1fa025572bd084f10b8609332221b9f4cff6727c8b5afbc-229,0x8e297141f9dc76f4d71741da1a1e47294cf0fde2,229,112245474150212817231180,stakeDepositeds
11482008,0xe3561a9ef4144d936a983254165d9aba2606948cc2635349f1866ddb9f048e30-262,0x4fedde33607cfda2c82a999accb427d1170987d9,262,63313645253622779601446,stakeDepositeds
11482099,0xfebb6dd10d273f0563c941b0d933dcda10d7e917eaca56c43e175020fc24406c-118,0x55f3dcdaf0b73f7f0c761a9070d8865f37986e2c,118,1878457000000000000000000,stakeDepositeds
11482234,0x489faf75e86dc17f7f6f1a4aeb61fbb411f599abc6d27f9b7bb6ecb840ffd2e9-210,0x362717d3fa1bfe457535b9b716f450b95a858217,210,1923077000000000000000000,stakeDepositeds
11482297,0xd3df6ff011abcd4e212858c1f90acf5c98b1b2e221a037c69ec6ecaed2f2dd07-40,0x7030613f84334149c3d1324497c96062c01e8459,40,1081503000000000000000000,stakeDepositeds
11482438,0x7a3ba6774bbabaf9cf3e81c1590caf144d7c23d0f966f7ef198eb381a6a79874-167,0x19fbac0891042be71ce60321a17720358575f580,167,1503040000000000000000000,stakeDepositeds
11482491,0x6369215c9d445a1f36e5a753ec2e282e2897072ee0a31dbde307acbc57028caa-51,0xf3f182e859f789af8d6c2223d15c691471c79a2b,51,986681068674218698000,stakeDepositeds
11482527,0x70940be92af754a74aaedcd1cfb674923b6e73ad3846bdf6f9272e2164c6a4b7-12,0xbe9d7c691792937ca7e2535652886ff390cc5b86,12,362243000000000000000000,stakeDepositeds
11482591,0x75ba43aa0c6ac6c02fd08633f7a5a8028951aaad08fe73a7b4d02b63e73203da-20,0xf3f182e859f789af8d6c2223d15c691471c79a2b,20,994368792055876292000,stakeDepositeds
11482599,0xc5c44794de8aec997862df6309faf44427b60860873d890c2aa1d5834b075b57-197,0xf3f182e859f789af8d6c2223d15c691471c79a2b,197,996552878531194446000,stakeDepositeds
11482664,0x778678c44bb6b4297d945e8c55f44ffc50edbd647bb9ffa60f139cc3fa13d464-237,0x163a2ebf98ef202da5834a33f7ce98098a0b7874,237,92308000000000000000000,stakeDepositeds
11482666,0x95b7397d2c31b8601340179166ff30ac374533d8b3b0cc5329602d261a6bd737-28,0x03db85e86779febdd96d96ba43ac48382fb1a88d,28,2300000000000000000000000,stakeDepositeds
11482679,0xc4c16128f2ce7954cea9068969b9b1f896ec341bd78e253f07d75dcbc3509e59-50,0xa3276e7ab0a162f6a3b5aa6b3089accbaa65d12e,50,3846154000000000000000000,stakeDepositeds
11482709,0xac01d389209688b31f8109788988c99801aeaae433fe17e82d4e5167f7c05b93-123,0x7697a886fc3b71a8a88487019337a6bbe5838f1a,123,3045717000000000000000000,stakeDepositeds
11482799,0xef2f2af861a80196e55de4397368ad3d72544272b0255f52822ee708680747d1-127,0x72acbecf3013d7b27421185d3bf369520bf552c8,127,14232528817192,stakeDepositeds
11483036,0x616ba2103c0cd194648759ae1f154c2201acb55fa4b44b5823837b98952e8fb6-241,0xcb22a8ce581d04fef99b81ec5a60725070a3e8c4,241,61488759709573,stakeDepositeds
11483099,0x2a147c2f6fb39344521bd20b2d0da0229a23fb366542eff32849ceee7e498ed3-132,0xcb22a8ce581d04fef99b81ec5a60725070a3e8c4,132,61738304149207,stakeDepositeds
11483403,0xb26a079e952b9cda80b4f444c9e2c4105020234613c46f2c6e9d175a0b301417-256,0xb438830f11820a5e9cdde1363bc49bde2da67f1f,256,1540422039217462800000,stakeDepositeds
11483923,0xdb8a3c254a8f5d3c5e19d105378465212d6ebcc4551a959842316c05ccf1236c-129,0x45874192929530cd4e3dd0624df05bee3c13974f,129,33837632638538313000,stakeDepositeds
11483988,0xe8f07f146955827147736d4269780dce75cafd8b04a42135ad3c169174d28a88-42,0xc430be492ddeb6e761dbbd0e08bafe99f5064d90,42,139833456804744660360000,stakeDepositeds
11484430,0x4061e710a9c86d2a5152946da73f787f414aa85770e4c6b7d31a4feb0ebc4764-74,0x4595855ed2d498fc2cbd7f415e7f262e2328d950,74,1427856000000000000000000,stakeDepositeds
11484567,0x882d22d4900807e28c7560c2600c9cdf17fcb5bb7a3e4cf188e8a3e26f76d2fc-120,0x1692a8710dcf0dce24bd34c028479176b97ee9ef,120,1830823000000000000000000,stakeDepositeds
11484701,0x098d05dac1cf13f815c7ac2a180c9b9785c1eca7c5d6ef007d46ebbcf5c1b4a1-123,0x62a0bd1d110ff4e5b793119e95fc07c9d1fc8c4a,123,300000000000000000000000,stakeDepositeds
11484776,0x814fc67b0802b8bf835a14d01aebcc89479e9416027c52aca92a49795a1464f5-349,0x720a98087160bfdb282f695abe6f9ac966b03d43,349,3300000000000000000000000,stakeDepositeds
11484983,0x3ed510cf2d809eba06076ebd8d5cc20414f5107a2336d30982d964388bb7c301-239,0x0da2b8ead0975f707aa3bad4c1ae4e705e4b3b53,239,1178654000000000000000000,stakeDepositeds
11484998,0x4e5d83781f864348aa09a627f069faa567b7503edf019402ba31c7a5d1ce1492-249,0xa959b5afe73c6faa803541b5c4edc0492dfda294,249,2037754814996150624000,stakeDepositeds
11484999,0x146127be9056c6369310baf5d661d94c1f0cb8b3c2b339852a75d580736a5b97-217,0xa959b5afe73c6faa803541b5c4edc0492dfda294,217,2037765250596486984000,stakeDepositeds
11485156,0xaa18cd92bbbb6363be8666d13b71bded6ccc679070b282b0b5652d347019ed4b-265,0x978cd3207d0cf5a89003d85c2913bc9be120c31f,265,1232208000000000000000000,stakeDepositeds
11485160,0x3cbd40300f4dad07c2516153effac7156508f1aa396ace13f0617415f3f7bf0b-108,0x0ceb7aa784616f4cd5d581ed5d1182bc4340b460,108,100000000000000000000000,stakeDepositeds
11485192,0xf38b9f260d09f1c85b06b2ff2e85718462f9cb71dd9427bd78e992280327149f-258,0xe7a694696a4d11ac0b7ab2dcb99a7fcf200eb00b,258,1117430000000000000000000,stakeDepositeds
11485345,0x745d521ee4c1fe11d66463d67fcf088b1ca3c01edc2303b46bca7b960d77b241-123,0xa92bd8c16ae3266cf3b80ba0152735e9a8460ce7,123,1029261000000000000000000,stakeDepositeds
11485425,0xf4bc7494ad9532bf139d29f30dd977f2cdb8d84b19652fe2aed2f04763054a41-295,0xfd4b9c44ee7afb7f98df3dda40aead6acd9f41f4,295,1088702000000000000000000,stakeDepositeds
11485434,0xbbb377451f042c7918ff7db6cdd8a3c3d5469145b3fb0db0e934a73ecabcb9cd-274,0xf304928be241aaa4d3bc6b95328300b5691aab9e,274,1184036000000000000000000,stakeDepositeds
11485650,0x7785075687a1f3e47527e25b4e755829d97010dd777c35c652c81112b1a5498b-54,0x48eecbc147a4b97e30fd03ef738b9305812e0287,54,966120000000000000000000,stakeDepositeds
11485767,0x9ee9bcf832ab36e14cdf6198c6de97ca4b757fda703494f5b95e473e288ee776-177,0xc9899dfdca2b2ef3972ce25e3f1ba0b05cb457b6,177,989936000000000000000000,stakeDepositeds
11485863,0x442c4bd6098fbd5b04a5745cf113bf32521271e4cc9d6a7b519c85a39049cd50-161,0x43eb454e8715164bd41deddaec3d3e2a7fbcd7b4,161,1027646000000000000000000,stakeDepositeds
11486094,0x23b573ec6864a2ee985c24bcdb1fa8b6e573e88d2ee5545d219d3e9fc575b3dd-184,0x17d7dca770ef183355b202435e1ce80a11b53886,184,1033701000000000000000000,stakeDepositeds
11486201,0x5502cb6a971249ceb1cbe7325d6a6bc5e978c796b3b94b0a8c4c2f63e23a322f-38,0x0ceb7aa784616f4cd5d581ed5d1182bc4340b460,38,1590950000000000000000000,stakeDepositeds
11486229,0xdb459ad80a54eda8be7b7587804d227a18721147d667c69638fb3342df8bcbc5-44,0x6879bbfcff0e54e62b899681ea52e74bd9b29fe4,44,218483000000000000000000,stakeDepositeds
11486339,0x067d9bf15c593307160cb66e70d3765dac55b97531ee569b3b64433cfb265234-130,0xa3eb195c91c428d48c7ce24301f0dfbaf972b5d7,130,1026368000000000000000000,stakeDepositeds
11486409,0x433dca42a3bceac3244e461ae4eb7b6ba3a0718e5f5cb5a3bbcfc8a4a6f27cef-241,0x9f491ce41ffa24a074176106ed9c59b0ae504427,241,1213673000000000000000000,stakeDepositeds
11486463,0x0cdeb08a6cd0e64f61b1adaff4872fb57dece018542c9f4ce38e37fa2ccf8e06-113,0xe7738d5679b54781a5482baa48dadfde624ed7d5,113,995891000000000000000000,stakeDepositeds
11486482,0x402299d130900712c2697ac3e17bbd503c7d8cb0cbb162658beac43a731e88d6-188,0x2d042d8a78cdaaa674b0aec5538e66a620eef75f,188,1467046000000000000000000,stakeDepositeds
11486526,0x1f44b44b96c272e7b352a4969f20b1ec13b98709a329a43b655b86339115b72d-274,0x6879bbfcff0e54e62b899681ea52e74bd9b29fe4,274,1000000000000000000000000,stakeDepositeds
11486647,0x9977d6283c7347bf3a256a3792c686d57f911dc4bf8c49a8635cb5c297f216ed-171,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,171,30248400185753189543685,stakeDepositeds
11486655,0x0ea3986c021f78ee35b347f5c9b7b1718b5c0bbf96197afa525fae39117dd9ed-81,0x0ceb7aa784616f4cd5d581ed5d1182bc4340b460,81,525826394562259000,stakeDepositeds
11486657,0xaf4953bc3d589490029c2475b6a455e4989b93303e0df1a243e217041f37b681-233,0x0ceb7aa784616f4cd5d581ed5d1182bc4340b460,233,530082670191256000,stakeDepositeds
11486665,0xed4567b62b6a0f09e1dd5c5fff0c4f1559466c8aad9f6dc443933576e673cabe-199,0x671bc7a0ffa02b0ee90ee03bcd11915df011503a,199,408434998905056960,stakeDepositeds
11486668,0x08536cb187c1bcf729294738d014bfc484133292dc87161227030a9eae809667-115,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,115,21105385634660314443199,stakeDepositeds
11486669,0x0e84eefd549706cfb2d9eb870fd4f9094f6257cc04becb7bcf8b06cd17243071-253,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,253,20395871442982249932309,stakeDepositeds
11486671,0x09648439bda9e1bca1a4a3e279472b32f50c4ccf7d037e896459669cdd2f2918-178,0xc430be492ddeb6e761dbbd0e08bafe99f5064d90,178,8530717529382452712000,stakeDepositeds
11486671,0x42fc0ca5b82b9a2773762f2b01444cc033bb3d87ae58c9c2e08d90a5eb1873d7-221,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,221,20987623754579370023810,stakeDepositeds
11486672,0x7a5421be46b185a1457b9cc05aefd8ca95d86cacb2eabfa2d3c6f3f886978afb-113,0x8e297141f9dc76f4d71741da1a1e47294cf0fde2,113,7145486187995281451520,stakeDepositeds
11486673,0x399d83fd14e0ab1ccaa51e9bb3b14358989a93346f47eb940b4281b2adb82bac-238,0x8e297141f9dc76f4d71741da1a1e47294cf0fde2,238,6689955685632503293440,stakeDepositeds
11486675,0x736d252d494ae87a1edc7d5efac00e405660a73dcae644dc1b750e68a76fcfb9-68,0x8e297141f9dc76f4d71741da1a1e47294cf0fde2,68,7120621226236835136000,stakeDepositeds
11486676,0x459291528aec921b55f4e90a76816b8623f61f9e9ee77b7a7ed4f7b8c77a1f7a-233,0x8e297141f9dc76f4d71741da1a1e47294cf0fde2,233,7194093539012296949760,stakeDepositeds
11486692,0x26bb113f84f45124d15299f793c5be80b01b85d3a58ccaec3596130091648d29-127,0x63c560997b8338f2b033f3ffdcc0f7c680feec45,127,1016803463926338915000,stakeDepositeds
11486694,0xd12b35b3ed409a2535b308050622bf1d4157708e5149c187605eb041d9485783-172,0xbe9d7c691792937ca7e2535652886ff390cc5b86,172,2818535945107761600000,stakeDepositeds
11486724,0x94da64ff98e3d9c3651e1432a6a100619117953d7ca68b88646750e6621d06bb-162,0x4fedde33607cfda2c82a999accb427d1170987d9,162,19576469260229128174335,stakeDepositeds
11486727,0xc0f238ccb1209bc4f2a469b016ab4da24d6e5c073048624a1f01a60dc17a1ab0-199,0xbf4af02f7855c7ead52d037349b7a76e48ed47a9,199,1130927707124360625000,stakeDepositeds
11486729,0x3b7248fb61fea233c438d68b76950405be7bbdca420783d223c7fba1840857a0-207,0xbf4af02f7855c7ead52d037349b7a76e48ed47a9,207,1129547370770262375000,stakeDepositeds
11486768,0x3fa8a00f9ef4d9cdc70bb1cda934cf8a239b6237bc0a57aa3fd171da55a7c6ff-204,0x45874192929530cd4e3dd0624df05bee3c13974f,204,4556749606641358400000,stakeDepositeds
11486813,0x3fc2ea44f1f451b9ffc6778d2b413e7529c2fb80a4732bbdf78e5ff804fb9cf0-211,0x720a98087160bfdb282f695abe6f9ac966b03d43,211,6717421299946929000000,stakeDepositeds
11486813,0xfd7f1b890521f24d0ac04084ad607cda2e019557d5e5a5f7c483b44f4505997a-230,0x45874192929530cd4e3dd0624df05bee3c13974f,230,4587633563566539200000,stakeDepositeds
11486840,0x727efde7dcd8cbd208566c26f12e3161134121f4dc3c7d69c205f989723db62a-159,0xf3f182e859f789af8d6c2223d15c691471c79a2b,159,4424115101596870680000,stakeDepositeds
11486842,0x0749b07bf0f3c5c7974c0b99fe8042b3e00c00238285792041ca24885d0f5e33-100,0xf3f182e859f789af8d6c2223d15c691471c79a2b,100,4410596271000724992000,stakeDepositeds
11486960,0x4f9c9dbe308f7a58355bd791146c915cb70e87acabc9d529849dea8723810a80-108,0xbfe2a198cb0cdfb50fb03cd932c7387ddb0d25aa,108,67935042564868660881499,stakeDepositeds
11486964,0x17a3cdea924f9c27c5708e2208391ee2faa8ae6758de3b1a01f2217096df798d-243,0x62a0bd1d110ff4e5b793119e95fc07c9d1fc8c4a,243,513082857964263750000,stakeDepositeds
11486987,0x5f266568f4cf1f834f8500107d966a70ab14e98b8ebef1358c254808ab47bc79-277,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,277,168955885905857333024,stakeDepositeds
11486989,0xfdf92d19c86dce1dd1cf4cb97b478550efb61d0231cdd7eff6a024407fe15cbf-178,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,178,1550011815914704734522,stakeDepositeds
11487004,0xbe22e7b56fde533627dae29a19efe6541859694042961d2cce7535f8d7fe7704-178,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,178,1576468572748386988905,stakeDepositeds
11487006,0xf8326596f21da4ed2d7b6fb267e032d3295e7563d5f2aced88938f3f0033ef7b-254,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,254,1598175405932161397492,stakeDepositeds
11487007,0x8f085e8b1e9e4002db7717ffba7ca371595b387a22d6e4d196c43ba8e2370696-191,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,191,1590911609887864142353,stakeDepositeds
11487009,0x14c9c5aa2d526ec3b3b6726152d4dda6bf5d3d62a2aa3a70e81471b9e9e9be08-110,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,110,1571361634056779741742,stakeDepositeds
11487011,0x6614d52825308ff7d6c8eff79149e513053478e5629febf6598a895f4b9c6bad-187,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,187,178019598888562609506,stakeDepositeds
11487012,0xce3505143c715330f5d07b5029f6cd932852a5c8da839008e945065015eb3351-141,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,141,1572767042600505082347,stakeDepositeds
11487015,0x62b4f08fbfe60c368437b23cb9cfd34fb2aef4c441db77a1255d21842b390449-246,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,246,1586925743137328997875,stakeDepositeds
11487017,0xf5c7fd046af8be1db781cbc80659a1b3883c4d4bdb97f1b56e8b1ef334fd1dd3-126,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,126,1594033362959910633066,stakeDepositeds
11487018,0x5d21f108bb6a83c7ce9ca6dcdfbe3240a29cb98001ff450dca1ee66c21012dc2-142,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,142,21523751878446,stakeDepositeds
11487021,0xd4fec98b7cb4690b51ecacad3606afcbbfa9af8d455082581561692b86c13c21-117,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,117,1596184780581419314782,stakeDepositeds
11487036,0x5479395daebe16efb2b63499326f7884a81aa15111c8f7b1f10281e8cc04a0f8-358,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,358,1571427048551675665811,stakeDepositeds
11487037,0xe802881ec0ce862ccfd01565e74dd7c6dc9baece14a3e1219ab162dc77d15955-213,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,213,5953914061173644,stakeDepositeds
11487170,0x358038cdb51b026cac9473089e19fdeb06d3ac6c2d2bc183c1432ab2aa59f34b-95,0x4dc44f5906f593da2ac28be1d22c4ee9cd556420,95,1202706000000000000000000,stakeDepositeds
11487189,0x27f1f2c24317a0ce9bcb009e63b2c46342907ddee4775e008139a7f6c8582cf8-71,0x1a99dd7d916117a523f3ce6510dcfd6bceab11e7,71,2281066000000000000000000,stakeDepositeds
11488590,0xda7d781ea2e1db27c673a937865e53f9b6540f11634ccd5d14a842b825bef452-214,0x55f3dcdaf0b73f7f0c761a9070d8865f37986e2c,214,296384839395035480000,stakeDepositeds
